Atomic_Number,Symbol,Element_Name,Mass_Excess_keV,Mass_Uncertainty_keV,Half_Life,Spin_Parity,Year,Decay_Modes,Mass_Number,Isomer
101,Md,Mendelevium,80470,90,,,90.0,,252,
101,Md,Mendelevium,80550,80,,,80.0,,252,p
101,Md,Mendelevium,81170#,30#,,,12.0,,253,
101,Md,Mendelevium,81230#,40#,,,60.0,,253,p
101,Md,Mendelevium,83450#,100#,,,10.0,,254,
101,Md,Mendelevium,83500#,140#,,,28.0,,254,m
101,Md,Mendelevium,84842,6,,,27.0,β+=931;α=71;SF?,255,
101,Md,Mendelevium,84850#,70#,,,13.0,,255,p
101,Md,Mendelevium,87460#,120#,,,17.0,β+=90.87;α=9.27;SF<3,256,
101,Md,Mendelevium,87620,70,,,70.0,,256,m
101,Md,Mendelevium,87700#,120#,,,,,256,p
101,Md,Mendelevium,88992.5,1.6,,,13.0,ε=853;α=153;SF?,257,
101,Md,Mendelevium,91690,3,,,1970.0,,258,
101,Md,Mendelevium,91690#,200#,,,1980.0,ε=8515;SF<15;β−?;,258,m
101,Md,Mendelevium,93560#,100#,,,13.0,,259,
101,Md,Mendelevium,96550#,320#,,,1989.0,,260,
101,Md,Mendelevium,98580#,510#,,,,,261,
101,Md,Mendelevium,101670#,450#,,,,,262,
102,No,Nobelium,80690#,220#,,0+,2003.0,,248,o
102,No,Nobelium,81790#,280#,,,57.0,,249,o
102,No,Nobelium,82620#,280#,,,2001.0,SF≈100;IT=?;α?,250,m
102,No,Nobelium,81570#,200#,,0+,2003.0,,250,o
102,No,Nobelium,82960#,180#,,,106.0,α=100,251,m
102,No,Nobelium,83980#,180#,,,,,251,n
102,No,Nobelium,82850#,180#,800ms10,,1967.0,α=8316;β+?;SF<0.3,251,o
102,No,Nobelium,84125,9,109.1ms2.5,,2007.0,IT=100,252,m
102,No,Nobelium,82871,9,,0+,1967.0,α=67.65;SF=31.34;,252,o
102,No,Nobelium,84527,7,,5/2+,1973.0,α=100,253,m
102,No,Nobelium,85560,110,,,110.0,IT=100,253,n
102,No,Nobelium,84359,7,,,1967.0,α=553;β+?;SF?,253,o
102,No,Nobelium,85620,110,,,110.0,IT=100,253,p
102,No,Nobelium,86019,10,264.9ms1.4,,10.0,IT=100;SF=0.02012;,254,m
102,No,Nobelium,87940#,300#,,,184.0,IT=100;SF≤0.012,254,n
102,No,Nobelium,84723,10,,0+,10.0,α=901;β+=101;SF=0.172,254,o
102,No,Nobelium,87020#,100#,,,,,255,m
102,No,Nobelium,86812,14,,,14.0,β+=705;α=305,255,o
102,No,Nobelium,86910#,70#,,,,,255,p
102,No,Nobelium,87823,8,,0+,17.0,α=99.455;SF=0.555;ε?,256,o
102,No,Nobelium,90247,6,,,1967.0,α=858;β+=158;SF?,257,o
102,No,Nobelium,90550#,120#,,,,,257,p
102,No,Nobelium,91480#,100#,1.23ms0.12,0+,1989.0,,258,o
102,No,Nobelium,94079,6,,9/2+,58.0,α=754;ε=254;SF<10,259,o
102,No,Nobelium,94310#,150#,,,,,259,p
102,No,Nobelium,95610#,200#,106ms8,0+,99.0,SF=100,260,o
102,No,Nobelium,98460#,200#,,,,,261,o
102,No,Nobelium,100100#,360#,∼5ms,0+,1.0,SF=100;α?,262,o
102,No,Nobelium,103130#,490#,,,,,263,o
102,No,Nobelium,105010#,590#,,0+,,,264,o
103,Lr,Lawrencium,87830#,200#,,,,,251,r
103,Lr,Lawrencium,88710#,190#,,,170.0,,252,p
103,Lr,Lawrencium,88540#,190#,369ms75,,2001.0,,252,r
103,Lr,Lawrencium,88560#,190#,,,,α=9010;SF=123;β+?;,253,m
103,Lr,Lawrencium,88520,160,632ms46,,160.0,α=9010;SF=1.06;β+?,253,r
103,Lr,Lawrencium,89750,90,,,90.0,α=?;β+?;IT?,254,m
103,Lr,Lawrencium,89650,90,,,90.0,α=71.719;β+=28.319;,254,r
103,Lr,Lawrencium,89988,19,,,19.0,,255,m
103,Lr,Lawrencium,90743,22,,,22.0,,255,n
103,Lr,Lawrencium,91412,22,1.78ms0.05,,22.0,,255,p
103,Lr,Lawrencium,89947,18,,,18.0,α=99.71;β+=0.31;SF?,255,r
103,Lr,Lawrencium,91980#,90#,,,17.0,,256,p
103,Lr,Lawrencium,91750,80,,,80.0,α=8510;β+=1510;SF<0.03,256,r
103,Lr,Lawrencium,92770#,60#,,,2018.0,,257,m
103,Lr,Lawrencium,92820#,110#,,,13.0,,257,p
103,Lr,Lawrencium,92670#,40#,,,1971.0,,257,r
103,Lr,Lawrencium,95020#,140#,,,,,258,p
103,Lr,Lawrencium,94780#,100#,,,1971.0,α=97.418;β+=2.618,258,r
103,Lr,Lawrencium,96200#,170#,,,,,259,p
103,Lr,Lawrencium,95850#,70#,,,13.0,α=782;SF=222;β+?,259,r
103,Lr,Lawrencium,98280#,130#,,,99.0,α=8020;β+=2020,260,r
103,Lr,Lawrencium,99560#,200#,,,39.0,,261,r
103,Lr,Lawrencium,102110#,200#,,,1.0,β+=?;SF<10;α?,262,r
103,Lr,Lawrencium,103670#,220#,,,,,263,r
103,Lr,Lawrencium,106380#,440#,,,,,264,r
103,Lr,Lawrencium,108230#,550#,,,,,265,r
103,Lr,Lawrencium,111660#,540#,,,22.0,SF=100,266,r
104,Rf,Rutherfordium,93640#,410#,13ms5,,,,253,
104,Rf,Rutherfordium,93840#,440#,,,52.0,,253,m
104,Rf,Rutherfordium,93200#,280#,,0+,1997.0,,254,
104,Rf,Rutherfordium,94500#,340#,,,,,254,m
104,Rf,Rutherfordium,95200#,570#,,,247.0,,254,n
104,Rf,Rutherfordium,94330#,180#,,,1975.0,α=52.822;SF=47.222;,255,
104,Rf,Rutherfordium,94480#,180#,,,150.0,IT=100,255,m
104,Rf,Rutherfordium,95380#,200#,,,1050.0,IT=100,255,n
104,Rf,Rutherfordium,95630#,200#,,,1300.0,IT=100,255,p
104,Rf,Rutherfordium,94222,18,6.60ms0.05,0+,18.0,SF=99.6910;α=0.3110,256,
104,Rf,Rutherfordium,95340#,100#,,,25.0,IT=100;SF?,256,m
104,Rf,Rutherfordium,95620#,100#,,,17.0,IT=100;SF?,256,n
104,Rf,Rutherfordium,96620#,200#,,,27.0,IT=100;SF?,256,p
104,Rf,Rutherfordium,95866,11,,,11.0,α=89.314;β+=9.414;,257,
104,Rf,Rutherfordium,95940,10,,,10.0,α=88.515;β+=11.515;,257,m
104,Rf,Rutherfordium,97022,10,,,10.0,IT=100,257,n
104,Rf,Rutherfordium,96344,16,12.5ms0.5,0+,16.0,SF=95.116;α=4.916,258,
104,Rf,Rutherfordium,97540#,300#,3.4ms1.7,,,IT=?;α?;β+?,258,m
104,Rf,Rutherfordium,97840#,500#,,,15.0,,258,n
104,Rf,Rutherfordium,98370#,70#,,,1969.0,α=854;β+=154;SF<3,259,
104,Rf,Rutherfordium,98430#,100#,,,60.0,,259,p
104,Rf,Rutherfordium,98570#,110#,,,210.0,,259,q
104,Rf,Rutherfordium,99150#,200#,21ms1,0+,1985.0,,260,
104,Rf,Rutherfordium,101320,70,,,70.0,SF=824;α=184,261,
104,Rf,Rutherfordium,101390#,120#,,,74.0,,261,m
104,Rf,Rutherfordium,101550#,120#,,,,,261,p
104,Rf,Rutherfordium,102390#,220#,250ms100,0+,1985.0,,262,
104,Rf,Rutherfordium,103390#,460#,47ms5,,1978.0,SF=100,262,m
104,Rf,Rutherfordium,104760#,150#,,,11.0,,263,
104,Rf,Rutherfordium,105060#,250#,,,,,263,p
104,Rf,Rutherfordium,106080#,360#,,0+,,,264,
104,Rf,Rutherfordium,108690#,360#,,,2010.0,,265,
104,Rf,Rutherfordium,110140#,410#,,0+,,,266,
104,Rf,Rutherfordium,113440#,580#,,,2004.0,SF=100,267,
104,Rf,Rutherfordium,113520#,580#,,,,,267,p
104,Rf,Rutherfordium,115480#,660#,,0+,,,268,
105,Db,Dubnium,99600#,280#,54ms,,1976.0,,255,
105,Db,Dubnium,99700#,300#,2.8ms,,1976.0,,255,m
105,Db,Dubnium,100300#,190#,,,2001.0,α=7011;β+=3011;SF?,256,
105,Db,Dubnium,100150,160,,,160.0,,257,
105,Db,Dubnium,100290#,200#,670ms60,,1985.0,,257,m
105,Db,Dubnium,101510,90,,,90.0,α=6410;β+=3610,258,
105,Db,Dubnium,101560,90,,,90.0,α=778;β+=238;SF?,258,m
105,Db,Dubnium,101990,60,510ms160,,60.0,α=100,259,
105,Db,Dubnium,103670#,90#,,,1970.0,α=90.46;SF=9.66;β+?,260,
105,Db,Dubnium,103770#,180#,,,,,260,p
105,Db,Dubnium,104310#,110#,,,1970.0,SF=7311;α=2711,261,
105,Db,Dubnium,104590#,230#,,,,,261,p
105,Db,Dubnium,106250#,140#,,,34.0,SF=524;α=484;β+?,262,
105,Db,Dubnium,106300#,160#,,,,,262,p
105,Db,Dubnium,107110#,170#,,,29.0,SF=5614;α=3714;,263,
105,Db,Dubnium,107370#,260#,,,,,263,p
105,Db,Dubnium,109260#,240#,,,,,264,
105,Db,Dubnium,110380#,220#,,,,,265,
105,Db,Dubnium,112740#,280#,,,80.0,α?;SF=?;β+?,266,
105,Db,Dubnium,114010#,370#,,,2004.0,SF=100,267,
105,Db,Dubnium,117060#,530#,,,29.0,,268,
105,Db,Dubnium,117210#,540#,,,150.0,,268,p
105,Db,Dubnium,119150#,620#,,,,,269,
105,Db,Dubnium,122400#,580#,,,2010.0,,270,
106,Sg,Seaborgium,105300#,410#,2.7ms0.5,0+,1997.0,,258,
106,Sg,Seaborgium,106520#,180#,402ms56,,,,259,
106,Sg,Seaborgium,106610#,180#,226ms27,,87.0,,259,m
106,Sg,Seaborgium,106547,21,4.95ms0.33,0+,21.0,SF=713;α=293,260,
106,Sg,Seaborgium,108005,18,183ms5,,18.0,α=98.14;β+=1.33;,261,
106,Sg,Seaborgium,108110#,50#,,,2010.0,IT=100,261,m
106,Sg,Seaborgium,108369,22,10.3ms1.7,0+,22.0,SF=946;α?,262,
106,Sg,Seaborgium,109230,110,,,110.0,,262,p
106,Sg,Seaborgium,110200#,100#,940ms140,,1974.0,α=878;SF=138,263,
106,Sg,Seaborgium,110250#,100#,420ms100,,51.0,,263,m
106,Sg,Seaborgium,110290#,100#,,,100.0,,263,p
106,Sg,Seaborgium,110780#,280#,78ms25,0+,2006.0,,264,
106,Sg,Seaborgium,112790#,140#,,,1994.0,,265,
106,Sg,Seaborgium,112790#,130#,,,1994.0,,265,m
106,Sg,Seaborgium,113620#,250#,390ms110,0+,2006.0,,266,
106,Sg,Seaborgium,115810#,260#,,,2008.0,SF=83;α=17,267,
106,Sg,Seaborgium,115830#,270#,,,,,267,p
106,Sg,Seaborgium,116800#,470#,,0+,,,268,
106,Sg,Seaborgium,119690#,370#,,,2010.0,,269,
106,Sg,Seaborgium,121430#,460#,,0+,,,270,
106,Sg,Seaborgium,124620#,590#,,,2004.0,α=4223;SF=5823,271,
106,Sg,Seaborgium,126520#,690#,,0+,,,272,
106,Sg,Seaborgium,129920#,400#,,,,,273,
107,Bh,Bohrium,113120#,200#,41ms14,,2008.0,,260,
107,Bh,Bohrium,113080,180,12.8ms3.2,,180.0,,261,
107,Bh,Bohrium,114250,90,84ms11,,90.0,,262,
107,Bh,Bohrium,114470,110,9.5ms1.6,,110.0,,262,m
107,Bh,Bohrium,114500#,310#,,,99.0,,263,
107,Bh,Bohrium,115960#,180#,,,1995.0,,264,
107,Bh,Bohrium,116290#,230#,,,,,264,p
107,Bh,Bohrium,116400#,240#,,,2004.0,α=?,265,
107,Bh,Bohrium,118100#,160#,,,2000.0,,266,
107,Bh,Bohrium,118770#,260#,,,22.0,α=100,267,
107,Bh,Bohrium,120710#,380#,,,,,268,
107,Bh,Bohrium,121480#,370#,,,,,269,
107,Bh,Bohrium,124230#,300#,,,2007.0,α=100,270,
107,Bh,Bohrium,124920#,360#,,,,,270,p
107,Bh,Bohrium,125860#,380#,,,2013.0,α=100,271,
107,Bh,Bohrium,128790#,530#,,,2004.0,,272,
107,Bh,Bohrium,130680#,660#,,,,,273,
107,Bh,Bohrium,133760#,580#,,,57.0,α=100,274,
107,Bh,Bohrium,135780#,600#,,,,,275,
107,Bh,Bohrium,138950#,600#,,,,,276,
107,Bh,Bohrium,141100#,600#,,,,,277,
107,Bh,Bohrium,144370#,400#,,,2016.0,,278,
108,Hs,Hassium,120000#,200#,,,330.0,,263,m
108,Hs,Hassium,119680#,200#,0.9ms0.4,,2009.0,,263,s
108,Hs,Hassium,119563,29,,0+,29.0,α=7030;SF=3030,264,s
108,Hs,Hassium,121130,24,,,24.0,,265,m
108,Hs,Hassium,120900,24,1.96ms0.16,,24.0,,265,s
108,Hs,Hassium,122240,90,280ms220,,90.0,,266,m
108,Hs,Hassium,121140,27,3.0ms0.6,0+,27.0,α=769;SF=249,266,s
108,Hs,Hassium,122700#,100#,,,39.0,α=?;IT?,267,m
108,Hs,Hassium,122660#,100#,55ms11,,1995.0,,267,s
108,Hs,Hassium,122970#,300#,,0+,2010.0,,268,s
108,Hs,Hassium,124490#,130#,,,15.0,α=100,269,s
108,Hs,Hassium,125110#,250#,,0+,2003.0,,270,s
108,Hs,Hassium,127690#,280#,,,2008.0,,271,s
108,Hs,Hassium,129000#,510#,,0+,,,272,s
108,Hs,Hassium,131970#,390#,,,,,273,p
108,Hs,Hassium,131770#,370#,1060ms500,,2010.0,,273,s
108,Hs,Hassium,133410#,470#,,0+,,,274,s
108,Hs,Hassium,136750#,600#,,,,,275,p
108,Hs,Hassium,136490#,590#,280ms130,,2004.0,α=100,275,s
108,Hs,Hassium,138190#,720#,,0+,,,276,s
108,Hs,Hassium,141480#,460#,,,130.0,SF=100,277,m
108,Hs,Hassium,142000#,490#,,,,,277,p
108,Hs,Hassium,141380#,450#,12ms9,,2010.0,,277,s
108,Hs,Hassium,143220#,300#,,0+,2016.0,,278,s
108,Hs,Hassium,146500#,600#,,,,,279,s
108,Hs,Hassium,148420#,600#,,0+,,,280,s
109,Mt,Meitnerium,126620#,440#,,,,,265,t
109,Mt,Meitnerium,128810,120,6ms3,,120.0,α=100,266,m
109,Mt,Meitnerium,127670,100,2.0ms0.5,,100.0,,266,t
109,Mt,Meitnerium,127790#,500#,,,,,267,t
109,Mt,Meitnerium,129150#,230#,23ms7,,1995.0,α=100,268,t
109,Mt,Meitnerium,129300#,310#,,,,,269,t
109,Mt,Meitnerium,130710#,190#,800ms400,,2004.0,,270,t
109,Mt,Meitnerium,131100#,330#,,,,,271,t
109,Mt,Meitnerium,133480#,490#,,,,,272,t
109,Mt,Meitnerium,134780#,420#,,,,,273,t
109,Mt,Meitnerium,137250#,380#,850ms540,,2007.0,α=100,274,t
109,Mt,Meitnerium,138770#,390#,31ms17,,2004.0,α=100,275,t
109,Mt,Meitnerium,141560#,540#,,,250.0,α=100,276,m
109,Mt,Meitnerium,141310#,530#,700ms80,,2004.0,α=100,276,t
109,Mt,Meitnerium,143010#,660#,,,2013.0,SF=100;α?,277,t
109,Mt,Meitnerium,146160#,590#,,,,,278,p
109,Mt,Meitnerium,145770#,580#,,,2010.0,α=100,278,t
109,Mt,Meitnerium,147590#,670#,,,,,279,t
109,Mt,Meitnerium,150510#,600#,,,,,280,t
109,Mt,Meitnerium,152400#,600#,,,,,281,t
109,Mt,Meitnerium,155460#,450#,,,2016.0,,282,t
110,Ds,Darmstadtium,133880#,200#,,,10.0,α=100,267,s
110,Ds,Darmstadtium,133650#,300#,,0+,,,268,s
110,Ds,Darmstadtium,134830,30,,,30.0,α=100,269,s
110,Ds,Darmstadtium,136070,60,4.3ms1.2,,60.0,,270,m
110,Ds,Darmstadtium,134680,40,,0+,40.0,,270,s
110,Ds,Darmstadtium,136020#,100#,1.7ms0.4,,68.0,α=100,271,m
110,Ds,Darmstadtium,135950#,100#,144ms53,,1998.0,SF=75;α=25,271,s
110,Ds,Darmstadtium,136080#,420#,,0+,,,272,s
110,Ds,Darmstadtium,138490#,140#,120ms,,198.0,α=100,273,m
110,Ds,Darmstadtium,138290#,140#,,,240.0,,273,s
110,Ds,Darmstadtium,139200#,390#,,0+,,,274,s
110,Ds,Darmstadtium,141670#,340#,,,,,275,s
110,Ds,Darmstadtium,142540#,550#,,0+,,,276,s
110,Ds,Darmstadtium,145090#,390#,6ms3,,2010.0,,277,s
110,Ds,Darmstadtium,146250#,510#,,0+,,,278,s
110,Ds,Darmstadtium,149250#,610#,,,,,279,p
110,Ds,Darmstadtium,149020#,610#,210ms40,,2004.0,SF=885;α=125,279,s
110,Ds,Darmstadtium,150320#,750#,25ms20,0+,,SF=100,280,s
110,Ds,Darmstadtium,153350#,460#,,,2012.0,α=100,281,m
110,Ds,Darmstadtium,153340#,500#,,,,,281,p
110,Ds,Darmstadtium,153270#,490#,,,14.0,SF=907;α=107,281,s
110,Ds,Darmstadtium,154790#,300#,,0+,2016.0,,282,s
110,Ds,Darmstadtium,157830#,500#,,,,,283,s
110,Ds,Darmstadtium,159460#,500#,,0+,,,284,s
111,Rg,Roentgenium,142770#,230#,4.2ms1.1,,1995.0,α=100,272,
111,Rg,Roentgenium,142890#,400#,,,,,273,
111,Rg,Roentgenium,144610#,210#,20ms11,,2004.0,,274,
111,Rg,Roentgenium,145400#,450#,,,,,275,
111,Rg,Roentgenium,147390#,630#,,,,,276,
111,Rg,Roentgenium,148410#,470#,,,,,277,
111,Rg,Roentgenium,150520#,390#,8ms5,,2007.0,α=100,278,
111,Rg,Roentgenium,151720#,420#,170ms110,,2004.0,α=100,279,
111,Rg,Roentgenium,151760#,430#,,,,,279,p
111,Rg,Roentgenium,153890#,530#,,,2004.0,α=100,280,
111,Rg,Roentgenium,155330#,770#,,,19.0,SF=878;α=138,281,
111,Rg,Roentgenium,157740#,590#,,,130.0,α=100,282,
111,Rg,Roentgenium,159380#,680#,,,,,283,
111,Rg,Roentgenium,161970#,500#,,,,,284,
111,Rg,Roentgenium,163730#,600#,,,,,285,
111,Rg,Roentgenium,166510#,460#,,,2016.0,,286,
112,Cn,Copernicium,150360#,500#,,0+,,,276,n
112,Cn,Copernicium,152330#,150#,,,790.0,α=100,277,n
112,Cn,Copernicium,152840#,440#,,0+,,,278,n
112,Cn,Copernicium,155020#,400#,,,,,279,n
112,Cn,Copernicium,155650#,580#,,0+,,,280,n
112,Cn,Copernicium,157950#,400#,180ms80,,2010.0,,281,n
112,Cn,Copernicium,158830#,550#,1.1ms0.3,0+,2004.0,,282,n
112,Cn,Copernicium,161340#,620#,,,2004.0,α=81;SF=19,283,n
112,Cn,Copernicium,162420#,760#,102ms17,0+,2004.0,SF=100,284,n
112,Cn,Copernicium,165620#,460#,,,15.0,α=100,285,m
112,Cn,Copernicium,165090#,510#,,,30.0,α=100,285,n
112,Cn,Copernicium,166450#,700#,,0+,30.0,,286,n
112,Cn,Copernicium,169370#,700#,,,,,287,n
112,Cn,Copernicium,170930#,700#,,0+,,,288,n
113,Nh,Nihonium,159030#,220#,2.3ms1.3,,2004.0,,278,
113,Nh,Nihonium,159460#,600#,,,,,279,
113,Nh,Nihonium,161240#,400#,,,,,280,
113,Nh,Nihonium,161810#,300#,,,,,281,
113,Nh,Nihonium,163730#,400#,140ms90,,2007.0,α=100,282,
113,Nh,Nihonium,164560#,440#,140ms90,,2004.0,α=100,283,
113,Nh,Nihonium,166590#,530#,,,2004.0,α=100,284,
113,Nh,Nihonium,167770#,780#,,,2010.0,α=100,285,
113,Nh,Nihonium,169960#,590#,,,12.0,α=100,286,
113,Nh,Nihonium,171460#,710#,,,,,287,
113,Nh,Nihonium,173970#,700#,,,,,288,
113,Nh,Nihonium,175550#,500#,,,,,289,
113,Nh,Nihonium,178320#,470#,,,2016.0,,290,
114,Fl,Flerovium,168780#,660#,3.1ms1.3,0+,2015.0,,284,
114,Fl,Flerovium,170930#,400#,210ms100,,2010.0,,285,
114,Fl,Flerovium,171610#,550#,130ms30,0+,2004.0,α=5911;SF=4111,286,
114,Fl,Flerovium,173930#,620#,510ms120,,2004.0,,287,
114,Fl,Flerovium,174920#,760#,653ms113,0+,2004.0,,288,
114,Fl,Flerovium,177470#,510#,,,2004.0,,289,
114,Fl,Flerovium,178220#,470#,,,2012.0,α=100,289,m
114,Fl,Flerovium,178730#,700#,,0+,80.0,,290,
114,Fl,Flerovium,181500#,700#,,,,,291,
115,Mc,Moscovium,177750#,440#,60ms30,,2004.0,α=100,287,
115,Mc,Moscovium,179670#,540#,177ms20,,2004.0,α=100,288,
115,Mc,Moscovium,180680#,780#,410ms150,,2010.0,α=100,289,
115,Mc,Moscovium,182790#,590#,840ms360,,2010.0,α=100,290,
115,Mc,Moscovium,184180#,740#,,,,,291,
115,Mc,Moscovium,186600#,700#,,,,,292,
116,Lv,Livermorium,184460#,500#,,,,,289,v
116,Lv,Livermorium,185030#,550#,9ms3,0+,2004.0,,290,v
116,Lv,Livermorium,187240#,620#,26ms12,,2004.0,,291,v
116,Lv,Livermorium,188130#,760#,16ms6,0+,2004.0,,292,v
116,Lv,Livermorium,191290#,470#,80ms60,,2012.0,α=100,293,m
116,Lv,Livermorium,190570#,520#,70ms30,,2004.0,,293,v
117,Ts,Tennessine,191650#,600#,,,,,291,s
117,Ts,Tennessine,193620#,670#,,,,,292,s
117,Ts,Tennessine,194430#,780#,25ms6,,2010.0,α=100,293,s
117,Ts,Tennessine,196400#,590#,70ms30,,2010.0,α=100,294,s
118,Og,Oganesson,198800#,710#,,,2010.0,,293,
118,Og,Oganesson,199320#,550#,0.7ms0.3,0+,2004.0,,294,
118,Og,Oganesson,201370#,660#,680ms540,,2006.0,,295,
